"url","dob","pob","birth_info","city"
"https://fr.wikipedia.org//wiki/Henri_Amand",1873-09-17,"Paris (France)	","Naissance	17 septembre 1873
à Paris (France)	","Paris"
"https://fr.wikipedia.org//wiki/Albert_Branlat",1879-11-15,"Saint-Vivien (France)	","Naissance	15 novembre 1879
à Saint-Vivien (France)	","Saint-Vivien"
"https://fr.wikipedia.org//wiki/No%C3%ABl_Cessieux",1878-12-22,"Andance (France)	","Naissance	22 décembre 1878
à Andance (France)	","Andance"
"https://fr.wikipedia.org//wiki/Marcel_Communeau",1885-09-11,"Beauvais (France)	","Naissance	11 septembre 1885
à Beauvais (France)	","Beauvais"
"https://fr.wikipedia.org//wiki/William_Crichton_(rugby_%C3%A0_XV)",1881-10-02,"Warrington	","Naissance	2 octobre 1881
à Warrington	","Warrington"
"https://fr.wikipedia.org//wiki/Paul_Dedeyn",1880-12-11,"Moulineaux (France)	","Naissance	11 décembre 1880
à Moulineaux (France)	","Moulineaux"
"https://fr.wikipedia.org//wiki/Jacques_Duffourcq",1881-08-19,"Salies-de-Béarn (France)","Naissance	19 août 1881
à Salies (Basses-Pyrénées) (France)	","Salies-de-Béarn"
"https://fr.wikipedia.org//wiki/Georges_J%C3%A9rome",1883-02-09,"Cayenne (France)	","Naissance	9 février 1883
à Cayenne (France)	","Cayenne"
"https://fr.wikipedia.org//wiki/Henri_Lacassagne",1883-12-27,"Viella (France)	","Naissance	27 décembre 1883
à Viella (France)	","Viella"
"https://fr.wikipedia.org//wiki/Gaston_Lane",1883-01-23,"Paris (France)	","Naissance	23 janvier 1883
à Paris (France)	","Paris"
"https://fr.wikipedia.org//wiki/Henri_Lev%C3%A9e",1885-03-17,"4e arrondissement de Paris	","Naissance	17 mars 1885
à 4e arrondissement de Paris	","Paris"
"https://fr.wikipedia.org//wiki/Allan_Muhr",1882-01-23,"Philadelphie (États-Unis)	","Naissance	23 janvier 1882
à Philadelphie (États-Unis)	","Philadelphie"
"https://fr.wikipedia.org//wiki/Augustin_Pujol",1883-05-10,"Toulouse (France)	","Naissance	10 mai 1883
à Toulouse (France)	","Toulouse"
"https://fr.wikipedia.org//wiki/Paul_Sagot",1885-01-15,"Dijon (France)	","Naissance	15 janvier 1885
à Dijon (France)	","Dijon"
"https://fr.wikipedia.org//wiki/Andr%C3%A9_Verg%C3%A8s",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/Pierre_Gaudermen",1882-10-20,"12e arrondissement de Paris","Naissance	
20 octobre 1882
12e arrondissement de Paris","Paris"
"https://fr.wikipedia.org//w/index.php?title=Albert_Hubert&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/%C3%89mile_Lesieur",1885-09-16,"Paris 13e (France)	","Naissance	16 septembre 1885
à Paris 13e (France)	","Paris"
"https://fr.wikipedia.org//w/index.php?title=Ernest_William_Lewis&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//w/index.php?title=Paul_Maclos&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//w/index.php?title=G._Maurin&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/Th%C3%A9odore_Varvier",1884-04-29,"Lyon 4e (France)	","Naissance	29 avril 1884
à Lyon 4e (France)	","Lyon"
"https://fr.wikipedia.org//wiki/Charles_Beaurin",1879-10-25,"Paris 16e (France)	","Naissance	25 octobre 1879
à Paris 16e (France)	","Paris"
"https://fr.wikipedia.org//wiki/Marc_Giacardy",1881-02-15,"Bordeaux (France)	","Naissance	15 février 1881
à Bordeaux (France)	","Bordeaux"
"https://fr.wikipedia.org//w/index.php?title=Henri_Isaac&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//w/index.php?title=Henri_Martin_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/Paul_Mauriat_(rugby_%C3%A0_XV)",1887-05-27,"Neuville-sur-Saône (France)	","Naissance	27 mai 1887
à Neuville-sur-Saône (France)	","Neuville-sur-Saône"
"https://fr.wikipedia.org//w/index.php?title=A._Poirier&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/Charles_Vareilles",1885-07-25,"Côn Son (Vietnam)","Naissance	25 juillet 1885
à Poulo Condor (Indochine française)	","Côn Son"
"https://fr.wikipedia.org//wiki/Georges_Borchard",1885-12-25,"Bordeaux (France)	","Naissance	25 décembre 1885
à Bordeaux (France)	","Bordeaux"
"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Duval_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/Pierre_Guillemin",1886-06-14,"Fallowfield","Naissance	
14 juin 1886
Fallowfield","Fallowfield"
"https://fr.wikipedia.org//wiki/Alfred_Mayssonni%C3%A9",1884-02-10,"Lavernose-Lacasse (France)	","Naissance	10 février 1884
à Lavernose-Lacasse (France)	","Lavernose-Lacasse"
"https://fr.wikipedia.org//w/index.php?title=Henri_Moure&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/Ren%C3%A9_de_Mallemann",1885-11-02,"16e arrondissement de Paris	","Naissance	2 novembre 1885
à 16e arrondissement de Paris	","Paris"
"https://fr.wikipedia.org//wiki/Maurice_Leuvielle",1881-06-28,"Saint-Loubès (France)	","Naissance	28 juin 1881
à Saint-Loubès (France)	","Saint-Loubès"
"https://fr.wikipedia.org//wiki/Alphonse_Mass%C3%A9",1883-05-23,"Saint-Christophe-de-Double (France)	","Naissance	23 mai 1883
à Saint-Christophe-de-Double (France)	","Saint-Christophe-de-Double"
"https://fr.wikipedia.org//wiki/Jean_Caujolle",1888-07-31,"Saint-Girons (France)	","Naissance	31 juillet 1888
à Saint-Girons (France)	","Saint-Girons"
"https://fr.wikipedia.org//w/index.php?title=Georges_Fourcade_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//w/index.php?title=Henri_Houblain&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//w/index.php?title=Jules_Icard&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/Andr%C3%A9_Theuriet_(rugby_%C3%A0_XV)",1887-03-30,"Lyon 2e (France)	","Naissance	30 mars 1887
à Lyon 2e (France)	","Lyon"
"https://fr.wikipedia.org//w/index.php?title=%C3%89tienne_de_Jouvencel&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//w/index.php?title=Paul_Dupr%C3%A9&action=edit&redlink=1",NA,NA,NA,NA
"https://fr.wikipedia.org//wiki/Marcel_Burgun",1890-01-30,"Saint-Pétersbourg (Russie)","Naissance	30 janvier 1890
à Saint-Pétersbourg (Empire russe)	","Saint-Pétersbourg"
