"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Henri Amand",1,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,0,"https://fr.wikipedia.org//wiki/Henri_Amand"
"Albert Branlat",2,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 2 mars 1908 contre le pays de Galles",3,2,"https://fr.wikipedia.org//wiki/Albert_Branlat"
"Noël Cessieux",3,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,3,"https://fr.wikipedia.org//wiki/No%C3%ABl_Cessieux"
"Marcel Communeau",4,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 27 février 1913 contre le pays de Galles",21,9,"https://fr.wikipedia.org//wiki/Marcel_Communeau"
"William Crichton",5,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 22 mars 1906 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/William_Crichton_(rugby_%C3%A0_XV)"
"Paul Dedeyn",6,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,0,"https://fr.wikipedia.org//wiki/Paul_Dedeyn"
"Jacques Duffourcq",7,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 2 mars 1908 contre le pays de Galles",4,0,"https://fr.wikipedia.org//wiki/Jacques_Duffourcq"
"Georges Jérome",8,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 22 mars 1906 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Georges_J%C3%A9rome"
"Henri Lacassagne",9,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Henri_Lacassagne"
"Gaston Lane",10,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1913 contre l'Écosse",16,3,"https://fr.wikipedia.org//wiki/Gaston_Lane"
"Henri Levée",11,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,0,"https://fr.wikipedia.org//wiki/Henri_Lev%C3%A9e"
"Allan Muhr",12,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",3,6,"https://fr.wikipedia.org//wiki/Allan_Muhr"
"Augustin Pujol",13,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",1,2,"https://fr.wikipedia.org//wiki/Augustin_Pujol"
"Paul Sagot",14,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 23 février 1909 contre le pays de Galles",3,5,"https://fr.wikipedia.org//wiki/Paul_Sagot"
"André Vergès",15,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",3,0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Verg%C3%A8s"
"Pierre Gaudermen",16,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",1,0,"https://fr.wikipedia.org//wiki/Pierre_Gaudermen"
"Albert Hubert",17,"le 22 mars 1906 contre l'Angleterre","le 20 mars 1909 contre l'Irlande",7,0,"https://fr.wikipedia.org//w/index.php?title=Albert_Hubert&action=edit&redlink=1"
"Émile Lesieur",18,"le 22 mars 1906 contre l'Angleterre","le 25 mars 1912 contre le pays de Galles",12,6,"https://fr.wikipedia.org//wiki/%C3%89mile_Lesieur"
"Ernest William Lewis",19,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=Ernest_William_Lewis&action=edit&redlink=1"
"Paul Maclos",20,"le 22 mars 1906 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",2,7,"https://fr.wikipedia.org//w/index.php?title=Paul_Maclos&action=edit&redlink=1"
"G. Maurin",21,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=G._Maurin&action=edit&redlink=1"
"Théodore Varvier",22,"le 22 mars 1906 contre l'Angleterre","le 1er janvier 1912 contre l'Irlande",6,0,"https://fr.wikipedia.org//wiki/Th%C3%A9odore_Varvier"
"Charles Beaurin",23,"le 5 janvier 1907 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",2,0,"https://fr.wikipedia.org//wiki/Charles_Beaurin"
"Marc Giacardy",24,"le 5 janvier 1907 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",1,0,"https://fr.wikipedia.org//wiki/Marc_Giacardy"
"Henri Isaac",25,"le 5 janvier 1907 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",2,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Isaac&action=edit&redlink=1"
"Henri Martin",26,"le 5 janvier 1907 contre l'Angleterre","le 2 mars 1908 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Martin_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Paul Mauriat",27,"le 5 janvier 1907 contre l'Angleterre","le 24 mars 1913 contre l'Irlande",19,5,"https://fr.wikipedia.org//wiki/Paul_Mauriat_(rugby_%C3%A0_XV)"
"A. Poirier",28,"le 5 janvier 1907 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=A._Poirier&action=edit&redlink=1"
"Charles Vareilles[Note 1]",29,"le 5 janvier 1907 contre l'Angleterre","le 3 mars 1910 contre l'Angleterre",5,4,"https://fr.wikipedia.org//wiki/Charles_Vareilles"
"Georges Borchard",30,"le 1er janvier 1908 contre l'Angleterre","le 25 mars 1911 contre l'Irlande",5,0,"https://fr.wikipedia.org//wiki/Georges_Borchard"
"René Duval",31,"le 1er janvier 1908 contre l'Angleterre","le 25 mars 1911 contre l'Irlande",6,0,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Duval_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Pierre Guillemin",32,"le 1er janvier 1908 contre l'Angleterre","le 28 février 1911 contre le pays de Galles",11,3,"https://fr.wikipedia.org//wiki/Pierre_Guillemin"
"Alfred Mayssonnié",33,"le 1er janvier 1908 contre l'Angleterre","le 1er janvier 1910 contre le pays de Galles",3,0,"https://fr.wikipedia.org//wiki/Alfred_Mayssonni%C3%A9"
"Henri Moure",34,"le 1er janvier 1908 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",1,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Moure&action=edit&redlink=1"
"René de Mallemann[Note 2]",35,"le 1er janvier 1908 contre l'Angleterre","le 28 mars 1910 contre l'Irlande",7,0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_de_Mallemann"
"Maurice Leuvielle",36,"le 2 mars 1908 contre le pays de Galles","le 13 avril 1914 contre l'Angleterre",7,0,"https://fr.wikipedia.org//wiki/Maurice_Leuvielle"
"Alphonse Massé",37,"le 2 mars 1908 contre le pays de Galles","le 28 mars 1910 contre l'Irlande",7,0,"https://fr.wikipedia.org//wiki/Alphonse_Mass%C3%A9"
"Jean Caujolle",38,"le 30 janvier 1909 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",5,0,"https://fr.wikipedia.org//wiki/Jean_Caujolle"
"Georges Fourcade",39,"le 30 janvier 1909 contre l'Angleterre","le 23 février 1909 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Georges_Fourcade_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Henri Houblain",40,"le 30 janvier 1909 contre l'Angleterre","le 1er janvier 1910 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Houblain&action=edit&redlink=1"
"Jules Icard",41,"le 30 janvier 1909 contre l'Angleterre","le 23 février 1909 contre le pays de Galles",2,0,"https://fr.wikipedia.org//w/index.php?title=Jules_Icard&action=edit&redlink=1"
"André Theuriet",42,"le 30 janvier 1909 contre l'Angleterre","le 25 janvier 1913 contre l'Angleterre",5,0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Theuriet_(rugby_%C3%A0_XV)"
