"nom","matchs","dob","pob","city","no","decade","first_selection","last_selection","premiere_selection","derniere_selection","points","url","birth_info","first","last","lat","long"
"Henri Amand",1,"1873-09-17","Paris (France)","Paris",1,1900-01-01,1906-01-01,1906-01-01,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",0,"https://fr.wikipedia.org//wiki/Henri_Amand","Naissance	17 septembre 1873
à Paris (France)	","1er janvier 1906","1er janvier 1906",48.8534951,2.3483915
"Albert Branlat",3,"1879-11-15","Saint-Vivien (France)","Saint-Vivien",2,1900-01-01,1906-01-01,1908-03-02,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 2 mars 1908 contre le pays de Galles",2,"https://fr.wikipedia.org//wiki/Albert_Branlat","Naissance	15 novembre 1879
à Saint-Vivien (France)	","1er janvier 1906","2 mars 1908",44.8929027,0.104621
"Noël Cessieux",1,"1878-12-22","Andance (France)","Andance",3,1900-01-01,1906-01-01,1906-01-01,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",3,"https://fr.wikipedia.org//wiki/No%C3%ABl_Cessieux","Naissance	22 décembre 1878
à Andance (France)	","1er janvier 1906","1er janvier 1906",45.2405258,4.7986597
"Marcel Communeau",21,"1885-09-11","Beauvais (France)","Beauvais",4,1900-01-01,1906-01-01,1913-02-27,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 27 février 1913 contre le pays de Galles",9,"https://fr.wikipedia.org//wiki/Marcel_Communeau","Naissance	11 septembre 1885
à Beauvais (France)	","1er janvier 1906","27 février 1913",49.4300997,2.0823355
"William Crichton",2,"1881-10-02","Warrington","Warrington",5,1900-01-01,1906-01-01,1906-03-22,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 22 mars 1906 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/William_Crichton_(rugby_%C3%A0_XV)","Naissance	2 octobre 1881
à Warrington	","1er janvier 1906","22 mars 1906",53.4018582,-2.5680223597163
"Paul Dedeyn",1,"1880-12-11","Moulineaux (France)","Moulineaux",6,1900-01-01,1906-01-01,1906-01-01,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",0,"https://fr.wikipedia.org//wiki/Paul_Dedeyn","Naissance	11 décembre 1880
à Moulineaux (France)	","1er janvier 1906","1er janvier 1906",49.3418677,0.9647213
"Jacques Duffourcq",4,"1881-08-19","Salies-de-Béarn (France)","Salies-de-Béarn",7,1900-01-01,1906-01-01,1908-03-02,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 2 mars 1908 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Jacques_Duffourcq","Naissance	19 août 1881
à Salies (Basses-Pyrénées) (France)	","1er janvier 1906","2 mars 1908",43.4703515,-0.9234025
"Georges Jérome",2,"1883-02-09","Cayenne (France)","Cayenne",8,1900-01-01,1906-01-01,1906-03-22,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 22 mars 1906 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Georges_J%C3%A9rome","Naissance	9 février 1883
à Cayenne (France)	","1er janvier 1906","22 mars 1906",4.9371143,-52.3258307
"Henri Lacassagne",2,"1883-12-27","Viella (France)","Viella",9,1900-01-01,1906-01-01,1907-01-05,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Henri_Lacassagne","Naissance	27 décembre 1883
à Viella (France)	","1er janvier 1906","5 janvier 1907",42.8766878,0.0137833
"Gaston Lane",16,"1883-01-23","Paris (France)","Paris",10,1900-01-01,1906-01-01,1913-01-01,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1913 contre l'Écosse",3,"https://fr.wikipedia.org//wiki/Gaston_Lane","Naissance	23 janvier 1883
à Paris (France)	","1er janvier 1906","1er janvier 1913",48.8534951,2.3483915
